Date,0M,1M,2M,3M,4M,5M,6M,7M
2015-12-17,18.94,19.285714285714285,19.607142857142858,19.805,20.107142857142858,20.289285714285715,20.570714285714285,20.75892857142857
2015-12-18,20.7,20.435714285714287,20.575,20.660714285714285,20.85,20.989285714285714,21.215,21.35
2015-12-21,18.7,18.90535714285714,19.34642857142857,19.654999999999998,19.932142857142857,20.20267857142857,20.467857142857145,20.63660714285714
2015-12-22,16.6,17.964285714285715,18.587500000000002,19.005,19.347321428571426,19.6375,19.935,20.15
2015-12-23,15.57,18.05,18.70357142857143,19.067857142857143,19.432142857142857,19.695535714285715,19.985714285714288,20.138392857142858
2015-12-24,15.74,18.396428571428572,18.941071428571426,19.257857142857144,19.567857142857143,19.817857142857143,20.12,20.264285714285712
2015-12-28,16.91,17.985714285714284,18.45,18.792142857142856,19.1,19.360714285714288,19.645,19.84285714285714
2015-12-29,16.08,17.732142857142858,18.208928571428572,18.55357142857143,18.858928571428574,19.15357142857143,19.47142857142857,19.67142857142857
2015-12-30,17.29,18.54732142857143,18.860714285714284,19.134999999999998,19.389285714285716,19.6625,19.985,20.1125
2015-12-31,18.21,18.7,18.976785714285715,19.229285714285716,19.451785714285716,19.696428571428573,19.981428571428573,20.10892857142857
2016-01-04,20.7,19.664285714285715,19.525,19.689285714285713,19.882142857142856,20.06875,20.34,20.420535714285716
2016-01-05,19.34,19.339285714285715,19.2375,19.41071428571429,19.56875,19.83214285714286,20.119285714285716,20.244642857142857
2016-01-06,20.59,19.985714285714284,19.70714285714286,19.829285714285714,19.95357142857143,20.119642857142857,20.382142857142856,20.47321428571429
2016-01-07,24.99,22.275,21.28214285714286,21.135,21.083928571428572,21.125,21.31357142857143,21.325
2016-01-08,27.01,23.625,22.332142857142856,22.130000000000003,21.9375,21.981428571428573,22.193571428571428,22.194285714285716
2016-01-11,24.3,22.296428571428574,21.589285714285715,21.617857142857144,21.625,21.789285714285715,22.025,22.02
2016-01-12,22.47,21.253571428571426,20.775,20.822142857142858,20.825,21.010714285714286,21.226785714285715,21.45
2016-01-13,25.22,23.182142857142857,22.520714285714284,22.379285714285714,22.275,22.305,22.44642857142857,22.47285714285714
2016-01-14,23.95,22.275,21.870714285714286,21.8,21.732142857142858,21.865,22.01607142857143,22.055
2016-01-15,27.02,24.325000000000003,23.607142857142858,23.340178571428574,23.066071428571426,23.047857142857143,23.09285714285714,23.02642857142857
2016-01-19,26.05,23.98035714285714,23.352857142857143,23.1125,22.923214285714284,22.857142857142858,22.91875,22.908571428571427
